Mean,Std,Skew,Kurtosis,Median Max Drawdown,Median Max Drawdown Duration,Time,Mean RT,Var RT,Skew RT,Kurt RT,Date,Lambda,hyperparams,description
0.0725294043793076,0.0534153447901436,0.174498933954025,3.47799825125786,0.0044268697030013,70.0,50.973834621,0.0097312089041944,5.22193012938687e-05,-0.0010977708814349,4.08363251777391,12-Mar-2021 23:34:58,1.0,"warmup = 100, frequency = 30",HRP cov-12-Mar-2021 23:34:07.txt
0.0559247479201595,0.0539103541356703,0.271158428263261,3.27417909255232,0.0049482041175509,82.0,55.718766993,0.0074836380632532,5.36469928663432e-05,0.156992015844038,3.28895486228348,12-Mar-2021 23:39:18,1.0,"warmup = 100, frequency = 10",HRP cov-12-Mar-2021 23:38:21.txt
0.0798306037760662,0.0569148130326599,0.273774206662404,3.21269327405443,0.0046387645891331,69.0,31.763911816,0.0114118394428393,6.62960239603678e-05,0.354624229271536,4.41858256634983,13-Mar-2021 11:05:12,0.1,frequency = 1,Exponential Gradient Expectation Maximisation-13-Mar-2021 11:04:40.txt
0.0798328201366357,0.0569159435877172,0.27378854863396,3.21275080629101,0.0046425950198727,69.0,31.882856683,0.0114121069492738,6.62980350376363e-05,0.354722150907486,4.41982387708682,13-Mar-2021 11:01:52,0.1,frequency = 1,Exponential Gradient Multiplicative-13-Mar-2021 11:01:19.txt
0.040562,0.045528,0.48551,3.6572,0.0090182,94.0,27.6349,0.010555,0.00017987,1.629,7.992,12-Mar-2021 20:52:11,0.1,frequency = 1,current price weighted-12-Mar-2021 20:51:44.txt
0.082108,0.0603,0.37063,3.3632,0.0045618,68.0,31.6144,0.011266,6.4443e-05,-0.074374,4.3892,12-Mar-2021 20:54:32,1.0,frequency = 1,proportional-12-Mar-2021 20:54:00.txt
0.08259,0.059004,0.32422,3.265,0.0044954,68.5,34.2447,0.011503,6.4667e-05,0.17418,4.31,12-Mar-2021 20:50:04,10.0,frequency = 1,current price weighted-12-Mar-2021 20:49:29.txt
0.0491420046978466,0.0458296657964595,0.48183389857857,3.60805007893829,0.0086155917101279,79.0,951.636333234,0.0119191751271264,0.0001665340191386,1.50988498674021,7.4394254256927,13-Mar-2021 12:23:43,5.0,"frequency = 30, warmup = 50",Follow the leader-13-Mar-2021 12:07:51.txt
0.0714656299215919,0.0545638276901226,0.172030054423031,3.00648780800838,0.0048559261535105,65.5,69.129614975,0.0103360225172126,6.39107603450745e-05,0.0719169572223496,3.35998796559096,12-Mar-2021 23:30:19,1.0,"warmup = 100, frequency = 100",HRP corr-12-Mar-2021 23:29:09.txt
0.1457,0.068127,0.59174,5.0617,0.0025825,29.0,31.9895,0.012735,3.2064e-05,0.72576,5.9935,12-Mar-2021 21:27:22,999.0,"warmup = 100, frequency=1",ledoit-wolf-12-Mar-2021 21:26:50.txt
0.084866,0.058805,0.47934,4.0213,0.0038849,59.5,66.8373,0.010466,4.8089e-05,0.037365,3.499,12-Mar-2021 20:32:24,5.0,"warmup = 30, frequency = 1",Inverse volatility weighted-12-Mar-2021 20:31:17.txt
0.162601151114154,0.107660309170215,1.60230004106028,7.68291659616493,0.0023762328344169,21.0,232.628935822,0.0101333265105322,2.78770269816854e-05,0.455849958374382,3.29114706327408,12-Mar-2021 23:50:21,1.0,"warmup = 100, frequency = 50",MAD-12-Mar-2021 23:46:28.txt
